taxonName,Horse,Butterfly,Bee
Acer campestre L.,1,0,1
Acer pseudoplatanus L.,0,0,1
Acer platanoides L.,0,0,1
Platanus x hispanica,0,0,0
Alnus glutinosa (L.) Gaertn.,1,0,0
Alnus incana (L.) Moench,1,0,0
Betula pendula Roth,1,0,0
Betula pubescens Ehrh.,1,0,0
Ulmus glabra Huds.,1,1,0
Ulmus minor Mill.,1,1,0
Ulmus laevis Pall.,1,1,0
Fagus sylvatica L.,0,0,0
Carpinus betulus L.,1,0,0
Castanea sativa Mill.,1,1,1
Aesculus hippocastanum L.,0,0,1
Sambucus nigra L.,0,0,0
Juglans regia L.,0,0,1
Fraxinus excelsior L.,1,0,0
Sorbus aucuparia L.,0,1,1
Cornus mas L.,1,0,1
Cornus sanguinea L.,0,1,0
Corylus avellana L.,1,1,0
Crataegus monogyna Jacq.,1,1,0
Crataegus laevigata (Poir.) DC.,1,1,0
Euonymus europaeus L.,0,1,0
Ilex aquifolium L.,0,1,1
Mespilus germanica L.,1,0,1
Populus tremula L.,1,1,0
Populus alba L.,1,1,0
Populus nigra var. Italica Muenchh.,1,1,0
Prunus avium (L.) L.,0,1,1
Prunus padus L.,0,0,1
Prunus serotina Ehrh.,0,0,0
Prunus spinosa L.,0,1,1
Quercus petraea (Matt.) Liebl.,0,0,0
Quercus robur L.,0,1,0
Quercus rubra L.,0,0,0
Rhamnus frangula L.,0,1,1
Salix alba L.,1,0,1
Salix x chrysocoma,1,0,1
Salix caprea L.,1,1,1
Salix cinerea L.,1,0,1
Salix fragilis L.,1,0,1
Salix pentandra L.,1,0,1
Salix triandra L.,1,0,1
Salix viminalis L.,1,0,1
Tilia cordata Mill.,1,1,1
Tilia platyphyllos Scop.,1,0,1
Viburnum opulus L.,0,0,0
Rubus idaeus L.,1,1,1
Rubus fruticosus L.,1,1,1
Rosa canina L.,1,1,1
